Account No,City,Country,Region,Access,C40,Reporting year,Type of target,Sector,Baseline year,Baseline emissions (metric tonnes CO2e),Percentage reduction target,Target date,Estimated business as usual absolute emissions in target year (metric tonnes CO2e),​Intensity unit (emissions per),Comment,Population,Population Year,City Location,Country Location
54408,Aarhus,Denmark,Europe,Public,False,2017,Absolute target,,2008,,100.0,2030,,,,336000.0,2017.0,"(56.168393, 10.137373)","(56.26392, 9.501785)"
63616,Abasan Al-Kabira,State of Palestine,South and West Asia,Public,False,2017,Absolute target,Buildings,2010,18320.0,19.0,2020,,,,30000.0,2015.0,"(31.323126, 34.344025)","(31.9522, 35.2332)"
63616,Abasan Al-Kabira,State of Palestine,South and West Asia,Public,False,2017,Absolute target,Transport,2010,6893.0,6.0,2020,,,,30000.0,2015.0,"(31.323126, 34.344025)","(31.9522, 35.2332)"
1499,Barcelona,Spain,Europe,Public,False,2017,Absolute target,Total,2008,4053.0,18.0,2020,,,,1608746.0,2016.0,"(41.382271, 2.177506)","(40.463667, -3.74922)"
1499,Barcelona,Spain,Europe,Public,False,2017,Absolute target,Buildings,2008,2164.0,1.0,2020,,,"Residential, Commercial and Industrial",1608746.0,2016.0,"(41.382271, 2.177506)","(40.463667, -3.74922)"
1499,Barcelona,Spain,Europe,Public,False,2017,Absolute target,Transport,2007,1540.0,27.0,2020,,,"On road transportation, port and airport",1608746.0,2016.0,"(41.382271, 2.177506)","(40.463667, -3.74922)"
1499,Barcelona,Spain,Europe,Public,False,2017,Absolute target,Waste,2008,327.0,74.0,2020,,,,1608746.0,2016.0,"(41.382271, 2.177506)","(40.463667, -3.74922)"
1499,Barcelona,Spain,Europe,Public,False,2017,Absolute target,,2008,,,,,,,1608746.0,2016.0,"(41.382271, 2.177506)","(40.463667, -3.74922)"
54637,Cuenca,Ecuador,Latin America,Public,False,2017,Absolute target,Transport,2017,11000.0,,,,,"Tranvía, ciclovías, sensibilización sobre el uso del transporte privado",505585.0,2010.0,"(-2.908411, -79.004837)","(-1.831239, -78.183406)"
54637,Cuenca,Ecuador,Latin America,Public,False,2017,Absolute target,Waste,2017,60000.0,,,,,Planta de biogas,505585.0,2010.0,"(-2.908411, -79.004837)","(-1.831239, -78.183406)"
60387,Sincelejo,Colombia,Latin America,Public,False,2017,Absolute target,,,,,,,,,275207.0,2015.0,"(9.304577, -75.390557)","(4.570868, -74.297333)"
43932,Auckland ,New Zealand,South Asia and Oceania,Public,False,2017,Absolute target,Total,1990,8892000.0,10.0,2020,,,10%-20% reduction by 2020,1614400.0,2016.0,"(-36.815328, 174.741788)","(-40.900557, 174.885971)"
43932,Auckland ,New Zealand,South Asia and Oceania,Public,False,2017,Absolute target,Total,1990,8892000.0,40.0,2040,,,,1614400.0,2016.0,"(-36.815328, 174.741788)","(-40.900557, 174.885971)"
43932,Auckland ,New Zealand,South Asia and Oceania,Public,False,2017,Absolute target,Total,1990,8892000.0,50.0,2050,,,,1614400.0,2016.0,"(-36.815328, 174.741788)","(-40.900557, 174.885971)"
31171,Madrid,Spain,Europe,Public,False,2017,Absolute target,Transport,2012,3162.0,50.0,2030,,,,3165883.0,2016.0,"(40.1076253, -3.3875673)","(40.463667, -3.74922)"
31171,Madrid,Spain,Europe,Public,False,2017,Absolute target,Total,1990,12953000.0,40.0,2030,,,,3165883.0,2016.0,"(40.1076253, -3.3875673)","(40.463667, -3.74922)"
54498,Murcia,Spain,Europe,Public,False,2017,Absolute target,Total,2007,2141277.0,20.0,2020,,,We already reach this target in 2015,439902.0,2015.0,"(37.799013, -1.00495)","(40.463667, -3.74922)"
58395,Bærum,Norway,Europe,Public,False,2017,Absolute target,Total,2009,227359.0,40.0,2030,,,"As reported in May 2017 we are in the process of developing a climate strategy where emission reduction targets will be set. The strategy is for political consideration until February 2018, and proposes a target of 40 % GHG reduction by 2030.",122660.0,2016.0,"(59.920545, 10.593765)","(60.472024, 8.468946)"
31150,Bangkok ,Thailand,South Asia and Oceania,Public,False,2017,Baseline scenario (business as usual) target,Transportation,2013,13760000.0,,2020,14910000.0,,,5696409.0,2015.0,"(13.787506, 100.710632)","(15.870032, 100.992541)"
31150,Bangkok ,Thailand,South Asia and Oceania,Public,False,2017,Baseline scenario (business as usual) target,Stationary energy (buildings),2013,25600000.0,,2020,26850000.0,,,5696409.0,2015.0,"(13.787506, 100.710632)","(15.870032, 100.992541)"
31150,Bangkok ,Thailand,South Asia and Oceania,Public,False,2017,Baseline scenario (business as usual) target,Waste,2013,4550000.0,,2020,4730000.0,,,5696409.0,2015.0,"(13.787506, 100.710632)","(15.870032, 100.992541)"
50679,Barreiro,Portugal,Europe,Public,False,2017,Absolute target,Total,2008,347987.0,20.0,2020,,,There is a difference between the amount of CO2 emissions presented in SEAP and this table due to a change in the calculation methodology.,78764.0,2011.0,"(38.660815, -9.079072)","(39.399872, -8.224454)"
31151,Basel-Stadt,Switzerland,Europe,Public,False,2017,Absolute target,Total,1990,1108030.0,20.0,2020,,,Swiss federal law CO2,198206.0,2016.0,"(47.5619, 7.5928)","(46.818188, 8.227512)"
31151,Basel-Stadt,Switzerland,Europe,Public,False,2017,Base year intensity target,,2001,,,,,,,198206.0,2016.0,"(47.5619, 7.5928)","(46.818188, 8.227512)"
59996,Batangas,Philippines,South Asia and Oceania,Public,False,2017,Absolute target,Total,2015,657636.0,25.0,2030,,,,354170.0,2016.0,"(13.7565, 121.0583)","(12.879721, 121.774017)"
59996,Batangas,Philippines,South Asia and Oceania,Public,False,2017,Baseline scenario (business as usual) target,,,,,,,,,354170.0,2016.0,"(13.7565, 121.0583)","(12.879721, 121.774017)"
54329,Bogor ,Indonesia,South Asia and Oceania,Public,False,2017,Absolute target,Total,2014,2193642.0,33.0,2030,,,WEM (With Existing Measure) Scenario,1047922.0,2015.0,"(-6.5971, 106.806)","(-6.121435, 106.774124)"
31154,Bogotá ,Colombia,Latin America,Public,False,2017,Absolute target,Total,2008,16279278.0,62.0,2050,,,,7980001.0,2016.0,"(4.711, -74.0721)","(4.570868, -74.297333)"
44132,Bornova ,Turkey,Europe,Public,False,2017,Absolute target,,,,,,,,,438549.0,2016.0,"(35.2141598, 33.2947541)","(38.963745, 35.243322)"
58543,Byron Shire,Australia,South Asia and Oceania,Public,False,2017,Absolute target,Total,2015,263199.0,100.0,2025,,,"This target covers the five areas of energy, buildings, waste, land use, transport. Included is a 100% RE target.",29209.0,2011.0,"(-28.6534, 153.5334)","(-25.274398, 133.775136)"
43928,Canberra,Australia,South Asia and Oceania,Public,False,2017,Absolute target,Total,1990,3196800.0,40.0,2020,,,Baseline emissions subject to change should in event of methodology change,400000.0,2016.0,"(-35.3075, 149.1244)","(-25.274398, 133.775136)"
43928,Canberra,Australia,South Asia and Oceania,Public,False,2017,Absolute target,Total,1990,3196800.0,100.0,2050,,,Baseline emissions subject to change should in event of methodology change,400000.0,2016.0,"(-35.3075, 149.1244)","(-25.274398, 133.775136)"
31186,Changwon ,South Korea,East Asia,Public,False,2017,Absolute target,Waste,,,,,,,,1063907.0,2016.0,"(35.154167, 126.949167)","(35.907757, 127.766922)"
54354,Makati,Philippines,South Asia and Oceania,Public,False,2017,Absolute target,,2011,,42.0,2020,,,Figures in the 4th column entails the reduction effort in tCO2e in 10 years time. Baseline emission is the Total emission of 1.6 tCO2e.,529039.0,2010.0,"(14.554729, 121.024445)","(12.879721, 121.774017)"
54354,Makati,Philippines,South Asia and Oceania,Public,False,2017,Absolute target,,2011,,52.0,2020,,,Figures in the 4th column entails the reduction effort in tCO2e in 10 years time. Baseline emission is the Total emission of 1.6 tCO2e.,529039.0,2010.0,"(14.554729, 121.024445)","(12.879721, 121.774017)"
54354,Makati,Philippines,South Asia and Oceania,Public,False,2017,Absolute target,,2011,,13.0,2020,,,Figures in the 4th column entails the reduction effort in tCO2e in 10 years time. Baseline emission is the Total emission of 1.6 tCO2e.,529039.0,2010.0,"(14.554729, 121.024445)","(12.879721, 121.774017)"
32480,Adelaide,Australia,South Asia and Oceania,Public,False,2017,Absolute target,,,,100.0,2025,,,Target = zero net carbon emissions by 2025 (so there is no baseline year).,23615.0,2016.0,"(-34.928499, 138.600746)","(-25.274398, 133.775136)"
32480,Adelaide,Australia,South Asia and Oceania,Public,False,2017,Absolute target,Total,2007,1175630.0,35.0,2020,,,The target emissions will equate to 764160tCO2e in 2020,23615.0,2016.0,"(-34.928499, 138.600746)","(-25.274398, 133.775136)"
58609,Ærøskøbing,Denmark,Europe,Public,False,2017,Absolute target,,2015,,10.0,,,,,6180.0,2017.0,"(54.891456, 10.404684)","(56.26392, 9.501785)"
59151,Akureyri,Iceland,Europe,Public,False,2017,Absolute target,,1990,,40.0,2030,,,,18340.0,2016.0,"(65.688492, -18.126169)","(64.963051, -19.020835)"
60588,Alba-Iulia,Romania,Europe,Public,False,2017,Absolute target,Buildings,2008,4292.0,34.0,2020,,,,74000.0,2016.0,"(46.082337, 23.569027)","(45.943161, 24.96676)"
60588,Alba-Iulia,Romania,Europe,Public,False,2017,Absolute target,Buildings,2008,61560.0,25.0,2020,,,,74000.0,2016.0,"(46.082337, 23.569027)","(45.943161, 24.96676)"
60588,Alba-Iulia,Romania,Europe,Public,False,2017,Absolute target,Buildings,2008,98185.0,18.0,2020,,,,74000.0,2016.0,"(46.082337, 23.569027)","(45.943161, 24.96676)"
60588,Alba-Iulia,Romania,Europe,Public,False,2017,Absolute target,Transport,2008,44216.0,23.0,2020,,,,74000.0,2016.0,"(46.082337, 23.569027)","(45.943161, 24.96676)"
60588,Alba-Iulia,Romania,Europe,Public,False,2017,Absolute target,Other: Public Lighting - energy regeneration,2008,1935.0,38.0,2020,,,,74000.0,2016.0,"(46.082337, 23.569027)","(45.943161, 24.96676)"
54102,Albany,USA,North America,Public,False,2017,Absolute target,,2009,,10.0,2030,,,,97856.0,2010.0,"(42.6526, -73.7562)","(37.09024, -95.712891)"
54102,Albany,USA,North America,Public,False,2017,Absolute target,,2009,,20.0,2030,,,,97856.0,2010.0,"(42.6526, -73.7562)","(37.09024, -95.712891)"
54102,Albany,USA,North America,Public,False,2017,Absolute target,,2009,,,2030,,,Divert 65% of solid waste from the landfill by 2030,97856.0,2010.0,"(42.6526, -73.7562)","(37.09024, -95.712891)"
54102,Albany,USA,North America,Public,False,2017,Absolute target,,2009,,10.0,2030,,,,97856.0,2010.0,"(42.6526, -73.7562)","(37.09024, -95.712891)"
54092,Ann Arbor,USA,North America,Public,False,2017,Absolute target,Total,2000,1681926.0,25.0,2025,,,,117770.0,2015.0,"(42.2808, -83.743)","(37.09024, -95.712891)"
54092,Ann Arbor,USA,North America,Public,False,2017,Absolute target,Total,2000,1681926.0,90.0,2050,,,,117770.0,2015.0,"(42.2808, -83.743)","(37.09024, -95.712891)"
55799,"Arlington, VA",USA,North America,Public,False,2017,Base year intensity target,Other: Community-wide (everything),2007,13.0,76.0,,,Metric tonnes of CO2e per capita,,220400.0,2016.0,"(37.226486, -76.002594)","(37.09024, -95.712891)"
52897,Aspen and Pitkin County,USA,North America,Public,False,2017,Absolute target,,2004,,30.0,2020,,,,8427.0,2010.0,"(39.195, -106.837)","(37.09024, -95.712891)"
52897,Aspen and Pitkin County,USA,North America,Public,False,2017,Absolute target,,2004,,80.0,2050,,,,8427.0,2010.0,"(39.195, -106.837)","(37.09024, -95.712891)"
31149,Athens,Greece,Europe,Public,False,2017,Absolute target,Total,2014,5069040.0,40.0,2030,,,,664046.0,2011.0,"(37.98381, 23.727539)","(39.074208, 21.824312)"
1093,Atlanta,USA,North America,Public,False,2017,Absolute target,Buildings,2009,373867.0,20.0,2020,,,"Benchmarking and retrofits for buildings larger than 25,000 soft",443775.0,2013.0,"(33.7489954, -84.3879824)","(37.09024, -95.712891)"
1093,Atlanta,USA,North America,Public,False,2017,Absolute target,Transport,2009,27266.0,20.0,2020,,,"Sharing mobility strategies, TOD, and parking strategies",443775.0,2013.0,"(33.7489954, -84.3879824)","(37.09024, -95.712891)"
1093,Atlanta,USA,North America,Public,False,2017,Absolute target,Waste,2009,29000.0,80.0,2020,,,Reevaluation of recycling curbing and educational programs with public and private sector,443775.0,2013.0,"(33.7489954, -84.3879824)","(37.09024, -95.712891)"
1184,Austin,USA,North America,Public,False,2017,Absolute target,Total,2010,14050168.0,100.0,2050,,,"Our goal is to have net zero carbon emissions by 2050 with interim goals following a linear target line from our 2010 baseline to 2050.  Our interim goals are: 2020: 11,300,000 MT CO2e 2030: 8,000,000 MT CO2e 2040: 4,600,000 MT CO2e  Page 5 of our climate plan shows our linear target path  http://austintexas.gov/sites/default/files/files/Sustainability/OOS_AustinClimatePlan_032915_SinglePages.pdf",912791.0,2016.0,"(30.2672, -97.7431)","(37.09024, -95.712891)"
35853,Baltimore,USA,North America,Public,False,2017,Absolute target,Total,2010,,15.0,2020,,,Key findings by sector provide guidance for where strategies can perhaps slow future emissions growth.• GHG emissions from the energy sector are anticipatedto increase slightly from 79.5 percent (2010) to 79.9percent (2020).• The transportation-related emissions are anticipatedto decrease from 15.6 percent (2010) to 15.2 percent(2020).• The waste-related emissions are anticipated to remainunchanged at 2.8 percent.• Wastewater treatment GHG emissions are expected toremain unchanged at 1.5 percent.• GHG emissions from the water sector are anticipatedto remain unchanged at 0.7 percent.All GHG emissions have been calculated and presented inmetric tons of carbon dioxide equivalent emissions per year(MT CO2e/yr).,614664.0,2016.0,"(39.2903848, -76.6121893)","(37.09024, -95.712891)"
58636,"Bellingham, WA",USA,North America,Public,False,2017,Absolute target,,2000,,7.0,2012,,,,84000.0,2016.0,"(48.7519, -122.4787)","(37.09024, -95.712891)"
49787,Benicia,USA,North America,Public,False,2017,Absolute target,,2000,,10.0,2020,,,,27450.0,2014.0,"(38.049365, -122.1585777)","(37.09024, -95.712891)"
35268,Boston,USA,North America,Public,False,2017,Absolute target,Total,2005,7350268.0,25.0,2020,,,,669469.0,2015.0,"(42.3584308, -71.0597732)","(37.09024, -95.712891)"
35268,Boston,USA,North America,Public,False,2017,Absolute target,Total,2005,7350268.0,100.0,2050,,,"In January, 2017 Mayor Walsh announced a new goal of being carbon-neutral by 2050.",669469.0,2015.0,"(42.3584308, -71.0597732)","(37.09024, -95.712891)"
54104,Boulder,USA,North America,Public,False,2017,Absolute target,Total,2005,1949796.0,80.0,2050,,,"Our progress toward this reduction target is publicly available on our city-wide dashboard, Boulder Measures: https://bouldercolorado.gov/boulder-measures",107167.0,2015.0,"(40.0274, -105.2519)","(37.09024, -95.712891)"
54521,Bournemouth,United Kingdom,Europe,Public,False,2017,Base year intensity target,Other:,2005,6.0,30.0,,,Metric tonnes of CO2e per capita,,191400.0,2015.0,"(50.719164, -1.880769)","(55.378051, -3.435973)"
35995,Brasília,Brazil,Latin America,Public,False,2017,Absolute target,Total,2005,5648140.0,40.0,2020,,,"O Distrito Federal conta com a Lei de Clima Nº 4.797/2012, ainda não regulamentada, cuja meta de mitigação está de acordo com as metas da PNMC- LEI Nº 12.187/2009, neste caso, meta de 40% até 2020. A Lei de Clima do DF também determinou a internalização da dimensão climática no planejamento da malha viária e da oferta dos diferentes modais de transportes. Determinou também o estabelecimento de limites e metas de redução progressiva e a promoção do monitoramento das emissões dos GEE pelo sistema de transporte do DF. Além disso, para o sistema de transporte público, a Lei determina uma redução progressiva do uso de combustíveis fósseis e meta progressiva de redução de, pelo menos, 10% a cada ano, a partir de 2011. Em 2020, de acordo com a Lei de Clima do DF, todos os ônibus do sistema de transporte público do Distrito Federal estarão utilizando combustível renovável não fóssil. A Lei também prevê redução do desmatamento e de decisões de fortalecimento das remoções antrópicas por sumidouros de gases de efeito estufa no território.",1409671.0,2015.0,"(-15.794229, -47.882166)","(-14.235004, -51.92528)"
59595,"Brisbane, CA",USA,North America,Public,False,2017,Absolute target,Total,2005,,15.0,2020,,,,4603.0,2015.0,"(37.6808, -122.4)","(37.09024, -95.712891)"
31155,Buenos Aires,Argentina,Latin America,Public,False,2017,Baseline scenario (business as usual) target,,2008,12742478.0,,2030,17314751.0,,,3059122.0,2016.0,"(-34.6037232, -58.3815931)","(-38.416097, -63.616672)"
35859,Cleveland,USA,North America,Public,False,2017,Absolute target,Total,2010,12519122.0,16.0,2020,,,"This goal is science-based and designed to be bold, yet achievable.The Climate Action Plan includes details on how much each emission reduction activity contributes to the goal.",396815.0,2010.0,"(41.4993, -81.6944)","(37.09024, -95.712891)"
54057,Lancaster,USA,North America,Public,False,2017,Baseline scenario (business as usual) target,,,,,,,,,161000.0,2015.0,"(40.0379, -76.3055)","(37.09024, -95.712891)"
2430,Burlington,USA,North America,Public,False,2017,Absolute target,,2007,,20.0,2020,,,"Reduction GoalsSubsequent to the completion of the 2007 GHG emissions inventory, the City established the following emissions reduction targets: Short-term: Reduction of 20% below 2007 levels by 2020 *Equals 1.5% annual reduction until 2020 Long-term: Reduction of 80% below 2007 levels by 2050 *Equals 2% annual reduction between 2020 and 2050 To achieve its 2020 goal, the City would have to reduce the emissions generated by its municipal operations by 4,657 tons of CO2 equivalent, while the community-wide emissions reduction would have to approach 86,485 tons of CO2 equivalent. These are not insignificant numbers, but if the City and community come together in working towards those same goals, we can surely achieve them. Exploration of new technologies, new financial incentives and/or financing schemes, as well as a general willingness and commitment to the implementation of this plan will bring success.",42284.0,2015.0,"(44.4758825, -73.212072)","(37.09024, -95.712891)"
35475,Calgary,Canada,North America,Public,False,2017,Absolute target,Total,2005,15793731.0,20.0,2020,,,,1235055.0,2016.0,"(51.048615, -114.070846)","(56.130366, -106.346771)"
35475,Calgary,Canada,North America,Public,False,2017,Absolute target,Total,1990,11871100.0,50.0,2036,,,Target was set as part of imagineCALGARY (a community-wide engagement in 2006 to set the 100-year sustainability vision for Calgary).,1235055.0,2016.0,"(51.048615, -114.070846)","(56.130366, -106.346771)"
35475,Calgary,Canada,North America,Public,False,2017,Absolute target,Total,2005,15793731.0,80.0,2050,,,,1235055.0,2016.0,"(51.048615, -114.070846)","(56.130366, -106.346771)"
55800,Cambridge,USA,North America,Public,False,2017,Absolute target,Total,2012,1462236.0,100.0,2050,,,,109694.0,2014.0,"(45.601, -93.327333)","(37.09024, -95.712891)"
35858,Cape Town,South Africa,Africa,Public,False,2017,Baseline scenario (business as usual) target,Residential buildings,2012,4619754.0,,Other: 2022,4714983.0,The overall target is -13% total CO2e reduction off business-as-usual scenario by 2022,,4012441.0,2016.0,"(-33.9253, 18.4239)","(-30.559482, 22.937506)"
35858,Cape Town,South Africa,Africa,Public,False,2017,Baseline scenario (business as usual) target,Commercial buildings,2012,6037936.0,,Other: 2022,8365386.0,The overall target is -13% total CO2e reduction off business-as-usual scenario by 2022,,4012441.0,2016.0,"(-33.9253, 18.4239)","(-30.559482, 22.937506)"
35858,Cape Town,South Africa,Africa,Public,False,2017,Baseline scenario (business as usual) target,Industrial buildings,2012,2203336.0,,Other: 2022,2546299.0,The overall target is -13% total CO2e reduction off business-as-usual scenario by 2022,,4012441.0,2016.0,"(-33.9253, 18.4239)","(-30.559482, 22.937506)"
35858,Cape Town,South Africa,Africa,Public,False,2017,Baseline scenario (business as usual) target,Public buildings,2012,143959.0,,Other: 2022,174402.0,The overall target is -13% total CO2e reduction off business-as-usual scenario by 2022,,4012441.0,2016.0,"(-33.9253, 18.4239)","(-30.559482, 22.937506)"
35858,Cape Town,South Africa,Africa,Public,False,2017,Baseline scenario (business as usual) target,Transportation,2012,7591848.0,,Other: 2022,9008621.0,The overall target is -13% total CO2e reduction off business-as-usual scenario by 2022. The target for transport only is -3.2% CO2e reduction off business-as-usual scenario.,,4012441.0,2016.0,"(-33.9253, 18.4239)","(-30.559482, 22.937506)"
35858,Cape Town,South Africa,Africa,Public,False,2017,Baseline scenario (business as usual) target,Wastewater,2012,13399.0,,Other: 2022,162336.0,The overall target is -13% total CO2e reduction off business-as-usual scenario by 2022,,4012441.0,2016.0,"(-33.9253, 18.4239)","(-30.559482, 22.937506)"
31052,Cardiff,United Kingdom,Europe,Public,False,2017,Absolute target,Other:,2005,2667000.0,26.0,2020,,,"This 26% reduction target is for per capita emissions (NB Cardiff is the UKs fastest growing city).  The per capita carbon emissions were 8.3 tonnes in 2005 and are 6.1 in 2013, demonstrating a 27% reduction in per capita emissions.  (The reduction in absolute emissions from 2005 to 2013 is 20%)",354300.0,2014.0,"(51.481581, -3.17909)","(55.378051, -3.435973)"
43914,Charlotte,USA,North America,Public,False,2017,Absolute target,,Other,,100.0,2050,,,"We have a goal to be carbon neutral by 2050, and are currently working on our baseline inventory through the GPC.",809958.0,2014.0,"(35.2271, -80.8431)","(37.09024, -95.712891)"
59545,"Charlottesville, VA",USA,North America,Public,False,2017,Absolute target,Total,2000,868952.0,10.0,2035,,,,48210.0,2010.0,"(38.0293, -78.4767)","(37.09024, -95.712891)"
59545,"Charlottesville, VA",USA,North America,Public,False,2017,Baseline scenario (business as usual) target,,,,,,,,,48210.0,2010.0,"(38.0293, -78.4767)","(37.09024, -95.712891)"
3203,Chicago,USA,North America,Public,False,2017,Absolute target,Total,1990,32300000.0,80.0,2050,,,The 1990 baseline was chosen in alignment with the Kyoto Protocol,2720546.0,2015.0,"(41.8781136, -87.6297982)","(37.09024, -95.712891)"
3203,Chicago,USA,North America,Public,False,2017,Absolute target,Total,1990,32300000.0,25.0,2020,,,The 1990 baseline was chosen in alignment with the Kyoto Protocol,2720546.0,2015.0,"(41.8781136, -87.6297982)","(37.09024, -95.712891)"
35857,Cincinnati,USA,North America,Public,False,2017,Absolute target,Total,2006,9.3,84.0,2050,,,,298550.0,2015.0,"(39.1031, -84.512)","(37.09024, -95.712891)"
